date,company,cleaned_headline,sentiment,sentiment_score
2025-05-29,AAPL,nvda aapl amzn tem tsla 5 trending stocks today apple nasdaqaapl amazoncom nasdaqamzn,neutral,0.91117156
2025-05-29,AAPL,apple to launch ios 26 macos 26 in major rebrand tied to software redesigns,positive,0.7931874
2025-05-28,AAPL,asx market open another nearflat morning as rosy nvidia results fail to really excite,negative,0.91952956
2025-05-28,AAPL,apples valuation is priced to perfection thought on the higher end nasdaqaapl,neutral,0.8157128
2025-05-28,AAPL,strategic turnaround plans hidden mistakes to avoid now,neutral,0.76687324
2025-05-28,AAPL,us tightens china chip curbs by targeting design software,neutral,0.62495047
2025-05-28,AAPL,market direction to be driven by nvidia earnings consumer roars back with renewed faith in trump nvidia nasdaqnvda spdr sp 500 arcaspy,positive,0.9261378
2025-05-28,AAPL,apple takes top spot in global smartphone market in q1 counterpoint,positive,0.790218
2025-05-28,AAPL,evaluating apple against peers in technology hardware storage peripherals industry apple nasdaqaapl,neutral,0.6988786
2025-05-28,AAPL,apple inc aapl should be bought on weakness veteran investor says,neutral,0.78654754
2025-05-28,AAPL,how to trade nvidia under earnings spotlight nvidia nasdaqnvda,neutral,0.9456813
2025-05-28,AAPL,futures erases overnight loss trade higher ahead of nvidia earnings,positive,0.4444938
2025-05-28,AAPL,apple expands self service repair program to ipads aaplnasdaq,positive,0.5795026
2025-05-28,AAPL,the magnificent 7 earnings finale,neutral,0.8933102
2025-05-28,AAPL,wall street breakfast podcast shein aims for hong kong ipo,neutral,0.92959636
2025-05-28,AAPL,us stocks surge on tariff reprieve and lower yields,negative,0.5334705
2025-05-28,AAPL,tata sons feels the heat as tcs shrinks dividend for the first time in 20 years,negative,0.96051204
2025-05-28,AAPL,trumps 25 tariff threat looms but apple aapl isnt moving yet,negative,0.5383322
2025-05-28,AAPL,texas age verification law texas moves to enforce age verification on app stores amid growing concerns over childrens safety et brandequity,negative,0.9199406
2025-05-28,AAPL,apple ramps up india manufacturing as us iphone imports surge 76 in april while shipments from china plunge apple nasdaqaapl,positive,0.8832264
2025-05-28,AAPL,texas governor signs law mandating age verification on apple and google app stores,neutral,0.793743
2025-05-28,AAPL,bitcoin vegas ten moments that cant be missed in the bull run,neutral,0.8827342
2025-05-28,AAPL,apple to launch dedicated gaming app across iphone ipad mac and apple tv,neutral,0.7767179
2025-05-28,AAPL,qualcomm modems outperform apples c1 chip in 5g performance study,positive,0.8016285
2025-05-28,AAPL,norways wealth fund ceo demands ai adoption among employees,negative,0.5882503
2025-05-27,AAPL,asx market open unsurprising trump eu backdown spurs markets into week 22 recovery,negative,0.88294286
2025-05-27,AAPL,apple sinks after new 25 tariff announcementwhats the bottom,negative,0.83312905
2025-05-27,AAPL,us stocks surge as trade tensions ease tsla and amd lead gains,positive,0.7214737
2025-05-27,AAPL,trump delays eu tariffs until july 9,neutral,0.51891744
2025-05-27,AAPL,apple aapl plans to launch gaming app on its devices aapl stock news,neutral,0.8943346
2025-05-27,AAPL,stock market today wall street surges as trump delays eu tariffs,positive,0.78780365
2025-05-27,AAPL,apple aapl makes first foray into gaming by acquiring indie studio rac7 aapl stock news,neutral,0.7778963
2025-05-27,AAPL,us major indices have a solid start to the holiday shortened week,positive,0.938541
2025-05-27,AAPL,trump vs apple we know how this one ends rating upgrade nasdaqaapl,neutral,0.86285836
2025-05-27,AAPL,apple aapl sees boost in iphone sales through early discounts in china aapl stock news,positive,0.94488287
2025-05-27,AAPL,aggressive stock buying on japans bond tweak igniting a global bond rally progress with europe spdr sp 500 arcaspy,positive,0.8034308
2025-05-27,AAPL,potential tariffs could significantly raise iphone prices aapl,negative,0.539536
2025-05-27,AAPL,apple quantifying the impact of 25 tariffs on gross margins nasdaqaapl,neutral,0.8512213
2025-05-27,AAPL,india rises shashank manis 5000mile paths to prosperity,neutral,0.8229423
2025-05-27,AAPL,todays midday market update stocks rally as trump delays eu tariffs,negative,0.8965643
2025-05-27,AAPL,nvidia nvda earnings awaited as us stocks rise tsla and pdd in focus,negative,0.5745801
2025-05-27,AAPL,market analysis apple and competitors in technology hardware storage peripherals industry apple nasdaqaapl,neutral,0.9293551
2025-05-27,AAPL,alt5 sigma integrates lightning network with voltage to enable instant bitcoin payments,neutral,0.65501595
2025-05-27,AAPL,apple aapl shields app store from 9 billion in fraudulent transactions,negative,0.56645185
2025-05-27,AAPL,apple aapl faces prolonged selloff amid trumps tariff threats,negative,0.95461947
2025-05-27,AAPL,gibo announces successful application of inspirai in short drama completes thematic creation tests with honeyreels pioneering crossformat innovation in anime and liveaction short drama,positive,0.7410242
2025-05-27,AAPL,apple blocks over 9b in potential fraudulent transactions in last five years aaplnasdaq,negative,0.57865053
2025-05-27,AAPL,apple expands iphones tap to pay to eight more countries in europe aaplnasdaq,positive,0.73336774
2025-05-27,AAPL,dow jones forecast djia rebounds as trump postpones steeper eu tariffs,negative,0.8350382
2025-05-27,AAPL,apple inc aapl is attracting investor attention here is what you should know,neutral,0.8375327
2025-05-27,AAPL,apple aapl positioned to benefit from potential usindia trade deal,positive,0.92454374
2025-05-27,AAPL,apple aapl faces significant threat from chatgpt veteran investor says,negative,0.9500445
2025-05-27,AAPL,futures rip higher after trump delays eu tariff hikes,negative,0.64628905
2025-05-27,AAPL,jim cramer warns market could be in trouble if apple nvidia stocks slide this week really bad sign apple nasdaqaapl hon hai precision otchnhpf,negative,0.9579515
2025-05-27,AAPL,stocks jump as japan panics about soaring bond yields,negative,0.7905224
2025-05-27,AAPL,us stock market futures today dow surges over 500 points sp 500 and nasdaq rally as trump delays eu tariffs tech giants like apple microsoft and nvidia lead gains,positive,0.8192726
2025-05-27,AAPL,apple aapl ceo skips middle east trip amid tariff concerns aapl stock news,negative,0.58336496
2025-05-27,AAPL,apple the covert cyclical of the mag 7 nasdaqaapl,neutral,0.72345376
2025-05-27,AAPL,stock market today futures rally as trump delays eu tariffs nvidia earnings in focus,negative,0.75309896
2025-05-27,AAPL,wall street breakfast podcast tesla sales tumble in europe,negative,0.96969414
2025-05-27,AAPL,1 nobrainer sp 500 index fund to buy right now for less than 200,neutral,0.9186279
2025-05-27,AAPL,us stocks likely to open higher after sp 500s fourday fall market is riskoff says expert apple nasdaqaapl autozone nyseazo,positive,0.7589917
2025-05-27,AAPL,this top vc wants to use main street america as an ai lab,neutral,0.922707
2025-05-27,AAPL,asia markets mixed europe gains dollar strengthens on eu tariff delay global markets today while us slept smartetfs asia pacific dividend builder etf arcaadiv,positive,0.87796265
2025-05-27,AAPL,us stock futures higher after trump said he will delay eu tariffs,positive,0.5561676
2025-05-27,AAPL,the real cost of trumps eu tariffs,neutral,0.8857398
2025-05-27,AAPL,trumps recent wrath on apple ceo tim cook is also tied to the middle east not just india report nvidia nasdaqnvda apple nasdaqaapl,neutral,0.91321814
2025-05-27,AAPL,us stock futures rally after long weekend on trade reprieve,negative,0.50473243
2025-05-27,AAPL,is the vanguard mega cap growth etf your ticket to mega returns,neutral,0.8773566
2025-05-27,AAPL,norway wealth fund chief tells staff that using ai is a must,neutral,0.81395805
2025-05-27,AAPL,stock market today futures rally on trumps eu tariff delay as markets reopen after memorial day,positive,0.7375156
2025-05-27,AAPL,stock market today markets rally as trump delays eu tariffs key earnings in focus,negative,0.7749635
2025-05-27,AAPL,sp 500 dips for 4th session amid trumps tariff threats investor sentiment declines fear index remains in greed zone apple nasdaqaapl autozone nyseazo,negative,0.90436643
2025-05-27,AAPL,us stock futures climb as eu tariff delay boosts risk appetite,negative,0.50235575
2025-05-27,AAPL,the oil market has a bigger problem than a slowing china india,negative,0.57101953
2025-05-27,AAPL,yields tariffs and tech can markets hold the line amid the policy storm,neutral,0.82272464
2025-05-27,AAPL,cramer suddenly there are many reasons for hope heading into a new trading week,neutral,0.85204864
2025-05-26,AAPL,buffett reduces bank betsheres where hes putting capital in 2025,neutral,0.8583496
2025-05-26,AAPL,whats next after fridays tariffdriven decline,neutral,0.9089789
2025-05-26,AAPL,todays midday market update us markets closed for memorial day as futures signal strong tuesday opening,positive,0.57035476
2025-05-26,AAPL,these are the 4 big things were watching in the stock market in the week ahead,neutral,0.92902595
2025-05-26,AAPL,todays midday market update markets rally as trump delays eu tariffs,negative,0.8643545
2025-05-26,AAPL,unlocking intrinsic value analysis of apple inc,neutral,0.86546206
2025-05-26,AAPL,stock market today markets rally as trump delays eu tariffs nvidia earnings in focus,negative,0.84307134
2025-05-26,AAPL,stock market today markets mixed as investors eye key tech earnings this week,negative,0.9614384
2025-05-26,AAPL,bitcoin surpasses amazon and alphabet to become worlds 5th largest asset,positive,0.9074656
2025-05-26,AAPL,trump backs down on eu tariffs but us dollar at 1month low,negative,0.50340676
2025-05-26,AAPL,european shares gain after trump pushes back planned 50 tariffs on eu,negative,0.7300063
2025-05-26,AAPL,what investors get wrong about cef fees and miss out on 8 yields,neutral,0.55232966
2025-05-26,AAPL,gold rally halts as us signals willingness to discuss trade terms with eu,neutral,0.46752033
2025-05-26,AAPL,asian shares mixed as trade fears ebb,negative,0.94193125
2025-05-26,AAPL,stock market today memorial day pause amid trade tensions and upcoming earnings,negative,0.94738656
2025-05-26,AAPL,week ahead bond yields in focus as usjapan divergence widens,positive,0.68232286
2025-05-26,AAPL,trump emphasizes tariff policy aims to boost military equipment and tech manufacturing over textiles we want to make big things apple nasdaqaapl,positive,0.77956396
2025-05-26,AAPL,coreweaves growing way too fast nasdaqcrwv,negative,0.6979918
2025-05-26,AAPL,european shares seen mostly higher at open,positive,0.91547465
2025-05-26,AAPL,sp 500 eps growth may flatline as tariff risks mount before q2 earnings,positive,0.8473685
2025-05-26,AAPL,european shares gain after trump pushes back planned 50 tariffs on eu,negative,0.7300063
2025-05-26,AAPL,us futures rise asian markets slip as donald trump delays eu tariff threat to july,negative,0.94656664
2025-05-26,AAPL,trumps targeting of apple isnt random analyst says its a calculated move for maximum political gain hon hai precision otchnhaf,neutral,0.78664917
2025-05-26,AAPL,asian shares us futures rise on eu tariff delay markets wrap,negative,0.4784728
2025-05-26,AAPL,warren buffetts top 5 positions make up 7046 of his portfolio analysis,neutral,0.9449529
2025-05-26,AAPL,trumps new tariff threats show trade uncertainty here to stay,negative,0.7163541
2025-05-25,AAPL,recessions signs rise moodys turns the bond market blue,negative,0.88475835
2025-05-25,AAPL,warren buffettled berkshire hathaway has 21 of its 276 billion portfolio in 1 stock thats up 644 in 9 years,neutral,0.81273574
2025-05-25,AAPL,see a big stock rally ahead be patient money manager says,neutral,0.6564408
2025-05-25,AAPL,264 of warren buffetts 258 billion portfolio is invested in 2 leading artificial intelligence stocks,neutral,0.9125048
2025-05-25,AAPL,xiaomi unveils new selfdeveloped chip announces 28b in rd investments over 5 years,positive,0.6385411
2025-05-25,AAPL,3500 american made iphone may slash apple sales by 153 billion,negative,0.9704251
2025-05-25,AAPL,1 stock to buy 1 stock to sell this week nvidia kohls,neutral,0.9167057
2025-05-25,AAPL,trumps new tariff threats show trade uncertainty here to stay,negative,0.7163541
2025-05-25,AAPL,buying apple stock isnt worth the risk,neutral,0.911875
2025-05-25,AAPL,nvidia earnings trump tariff updates and the feds preferred inflation gauge what to know this week,neutral,0.92986554
2025-05-25,AAPL,apple aapl faces a new kind of rival and wall street is paying attention,neutral,0.55285275
2025-05-25,AAPL,charting the global economy us biz under pressure to import during tariff pause,negative,0.5246297
2025-05-25,AAPL,trumps new tariff threats ipos and fii action among 9 factors thatll steer dstreet this week,positive,0.5685783
2025-05-25,AAPL,you can buy netflix and disney stock but what about other streaming services 3 ways to invest,neutral,0.93059784
2025-05-24,AAPL,investing in dividend stocks the stability of warren buffetts picks,neutral,0.84204894
2025-05-24,AAPL,trump tariff threats target apple aapl,neutral,0.90163845
2025-05-24,AAPL,4 a month gene munster unpacks trumps iphone tariff math says market appears to be miscalculating the impact 4 a month gene munster unpacks trumps iphone tariff math says market appears t,negative,0.92614436
2025-05-24,AAPL,exapple engineers behind 200m xnor deal launch elastixai secure 16m to revolutionize ai inference across devices,neutral,0.7218144
2025-05-24,AAPL,is now the time to buy beatendown ai stocks,neutral,0.83440834
2025-05-24,AAPL,dow jones sp 500 nasdaq composite bond tantrums put trump on notice again,negative,0.90350544
2025-05-24,AAPL,dan ives fires back trumps apple plan needs herculean logistics,neutral,0.54685634
2025-05-24,AAPL,trump threatens apple inc aapl with new tariffs if iphones not made in us,negative,0.88357174
2025-05-24,AAPL,trumps commerce secretary says future of american manufacturing is tradecraft jobs that only require high school education,neutral,0.8920655
2025-05-24,AAPL,sam altmans 150m ai chip bet crashes rain ai faces sale as openai nvidia and microsoft circle the wreckage,neutral,0.7389489
2025-05-24,AAPL,rising bond yields give stockmarket investors the yips watch these levels,positive,0.54298097
2025-05-24,AAPL,alibaba chair says asian firms can look for growth outside of us,positive,0.72791356
2025-05-24,AAPL,can a 10000 investment in soundhound ai turn into 1 million by 2035,neutral,0.8152392
2025-05-24,AAPL,the best warren buffett stocks to buy with 1000 right now,neutral,0.8848488
2025-05-24,AAPL,bitcoin new alltime high if history is any guide this happens next,neutral,0.8499692
2025-05-24,AAPL,stocks tick downward as trump proposes 50 tariff on the european union and 25 tariff on apples iphones,negative,0.9477759
2025-05-24,AAPL,oracle to spend 40 billion on nvidia gb200 chips for openais texas data center report apple nasdaqaapl jpmorgan chase nysejpm,neutral,0.8681717
2025-05-24,AAPL,apple would rather absorb a 25 iphone tariff than move production to the us says analyst no guarantee they wont face repeated tariff threats during his term hon hai precision otchnhaf,positive,0.74044305
2025-05-24,AAPL,trump threatens eu smartphones as tariff rhetoric escalates,negative,0.9116004
2025-05-24,AAPL,wall st falls as trump tariff threats spark market uncertainty,negative,0.8700711
2025-05-24,AAPL,wall street slides as trumps tariff threats triggers market uncertainty,negative,0.875595
2025-05-24,AAPL,dollar global stocks slip as trump threatens tariffs on europe and apple,negative,0.9594288
2025-05-24,AAPL,apple faces first serious threat in 20 years as openai acquires iphone makers former design chief jony ives hardware startup says gene munster,negative,0.82160497
2025-05-24,AAPL,ai investing in canada ai stocks vs tools,neutral,0.733695
2025-05-24,AAPL,tariff long arm of trump law may not pluck apple off india,neutral,0.75681907
2025-05-23,AAPL,trump threatens 25 tariff on iphones not made in us targets india production,negative,0.82892334
2025-05-23,AAPL,us stocks decline amid trade tensions aapl suffers losses,negative,0.9073998
2025-05-23,AAPL,market today ftc drops microsoft case salesforce eyes informatica,neutral,0.49502078
2025-05-23,AAPL,us stock market today down sp 500 dow jones nasdaq see one of the worst weeks apple share price falls big,negative,0.94417375
2025-05-23,AAPL,sp 500 gains and losses today deckers outdoor ross stores stocks fall as firms withhold outlooks,negative,0.9678522
2025-05-23,AAPL,forexlive americas fx news wrap 23 may pres trump is not partial to who he tariffs,neutral,0.9182922
2025-05-23,AAPL,trumps trade spat with europe and apple revives tariff risks for sp 500 apple nasdaqaapl,positive,0.85607415
2025-05-23,AAPL,us stocks climb off early lows but still close firmly negative,negative,0.6711632
2025-05-23,AAPL,stock market today dow sp 500 nasdaq fall as trump tariff threats roar back us deficit anxiety deepens,negative,0.9280189
2025-05-23,AAPL,apples ecosystem is eating hardware nasdaqaapl,neutral,0.75747937
2025-05-23,AAPL,trump expands apple tariff threat to iphone rivals but its not helping the stock,negative,0.81606984
2025-05-23,AAPL,apple under fire the 25 tariff threat that could break the stock nasdaqaapl,negative,0.56579345
2025-05-23,AAPL,apple aapl sees increased bearish options activity amid stock decline aapl stock news,negative,0.7094842
2025-05-23,AAPL,why offprice retailer tjx is a buy after falling 3 on a rivals weak guidance,negative,0.72484964
2025-05-23,AAPL,market recap wall street closes mixed amid tariff concerns and tech volatility on friday may 23 2025,negative,0.95292246
2025-05-23,AAPL,apple tariff risk grows analysts say us iphone production is a fairy tale,negative,0.5036314
2025-05-23,AAPL,how much an apple iphone could cost if made in the us,neutral,0.9273329
2025-05-23,AAPL,elfun trusts exits unitedhealth group inc impacting portfolio by 179,negative,0.8171098
2025-05-23,AAPL,nuclear stocks rally as trump plans to boost industry,negative,0.6933813
2025-05-23,AAPL,us treasuries hold gains as bessent says slr moves very close,positive,0.81304276
2025-05-23,AAPL,dollar falls to lowest since 2023 as investors eye trade risks,negative,0.9339244
2025-05-23,AAPL,apple rattled as openai acquires io to develop ai devices,neutral,0.6814385
2025-05-23,AAPL,musk and tech bros are facing the end of the technipolar moment,neutral,0.8381562
2025-05-23,AAPL,apple aapl faces earnings pressure amid tariff concerns,negative,0.9665815
2025-05-23,AAPL,trump tariff blitz on eu and apple triggers global market chaos stocks sink dollar slides gold soars heres what you need to know,neutral,0.8640067
2025-05-23,AAPL,apple ceo reaches out to texas governor to amend online childsafety legislation report,positive,0.5070213
2025-05-23,AAPL,apple aapl intensifies opposition to texas age verification bill aapl stock news,neutral,0.68578523
2025-05-23,AAPL,failure turnaround stories hidden lessons for new entrepreneurs,neutral,0.80955267
2025-05-23,AAPL,top stock movers now apple deckers outdoor intuit and more,neutral,0.8899497
2025-05-23,AAPL,trump suggests tariff on apple aapl iphones not made in the usa aapl stock news,neutral,0.90504754
2025-05-23,AAPL,gold climbs after trumps eu and apple threats stoke trade fears,positive,0.45711765
2025-05-23,AAPL,apple shares tumble 4 as trump threatens 25 tariff on iphones made outside us,negative,0.9630245
2025-05-23,AAPL,todays midday market update stocks tumble as trade tensions resurface,negative,0.96738136
2025-05-23,AAPL,performance comparison apple and competitors in technology hardware storage peripherals industry apple nasdaqaapl,neutral,0.83720934
2025-05-23,AAPL,apple shares fall 4 after trump threatens to impose 25 tariff heres why,negative,0.9677615
2025-05-23,AAPL,our talks going nowhere donald trump threatens to impose 50 tariff on eu imports starting june 1,negative,0.6734783
2025-05-23,AAPL,us stocks off worst levels but still sharply lower after trumps tariff threats,negative,0.82661587
2025-05-23,AAPL,apple shares fall on trump threat make iphones in us or pay 25,negative,0.9415477
2025-05-23,AAPL,morning brew microsoft msft wins ftc battle intuit intu raises guidance,neutral,0.72074246
2025-05-23,AAPL,wall street opens sharply lower dow falls over 400 points after trumps tariff threats on eu apple global selloff ensues,negative,0.84327596
2025-05-23,AAPL,nasdaq sp snap 1 at open after trump threatens eu apple with fresh tariffs,negative,0.7698404
2025-05-23,AAPL,trumps tariff threat sinks apple stock a 3500 iphone nightmare,neutral,0.8039209
2025-05-23,AAPL,stocks plunge as trump targets europe and apple with steep tariffs,negative,0.9244283
2025-05-23,AAPL,stocks fall as trump targets europe and apple with steep tariffs,negative,0.9493368
2025-05-23,AAPL,4 stocks to watch on friday aapl amzn bah and cprt bahnyse,neutral,0.9030277
2025-05-23,AAPL,when do you buy the tariff dip in us stocks when trump tells you,neutral,0.81301445
2025-05-23,AAPL,apple raises iphone tradein prices in china to fend off huawei xiaomi amid lagging sales alibaba gr hldgs nysebaba,negative,0.82591724
2025-05-23,AAPL,ross stores rost exceeds q1 expectations amid tariff concerns,positive,0.8677508
2025-05-23,AAPL,sp 500 trump tariff shock could trigger sharp selloff,negative,0.84137726
2025-05-23,AAPL,global markets tumble after trump announces tariffs against european union apple,negative,0.92426264
2025-05-23,AAPL,megacap tech shows signs of life but the road back to aths is still long,positive,0.7150141
2025-05-23,AAPL,futures plunge following trumps tariff threats against eu apple,negative,0.8203219
2025-05-23,AAPL,apple suppliers see red after trump says tech giant must pay tariffs on iphones not made in us,negative,0.949017
2025-05-23,AAPL,futures plunge after trump threatens 25 tariff on apple 50 on europe bonds bullion bid,negative,0.89986163
2025-05-23,AAPL,futures dip as trump targets apple and eu with tariff threats,negative,0.941294
2025-05-23,AAPL,trump threatens 25 tariffs on apple if iphones not us made,negative,0.8644254
2025-05-23,AAPL,the eurusd moves lower after trump imposed 50 tariff on eu goods,negative,0.9075945
2025-05-23,AAPL,5 things to know before the stock market opens,neutral,0.93319935
2025-05-23,AAPL,trump threatens tim cook to manufacture iphones in the us or face at least 25 tariffs hon hai precision otchnhaf,negative,0.9087289
2025-05-23,AAPL,apple news the good the bad and where it goes from here,neutral,0.93089145
2025-05-23,AAPL,apple dives as trump says tariffs must be paid on iphones not made in us aaplnasdaq,negative,0.9453219
2025-05-23,AAPL,berkshire hathaways biggest stocks how the price charts look now,neutral,0.929514
2025-05-23,AAPL,wall street breakfast podcast shared stablecoin,neutral,0.8741008
2025-05-23,AAPL,wall st falls as trump tariff threats spark market uncertainty,negative,0.8700711
2025-05-23,AAPL,jamie dimon who once said trump was right about some of china hints at alignment with xi jinping amid washingtonbeijing tensions apple nasdaqaapl jpmorgan chase nysejpm,neutral,0.8220239
2025-05-23,AAPL,market watch stock market update for friday may 23 2025,neutral,0.9137828
